product_id,valiation_id,ttl_color,c1_color,c1_proportion,c2_color,c2_proportion,c3_color,c3_proportion,c4_color,c4_proportion,c5_color,c5_proportion
10157840,1105052,#F2D9CD,#C7613F,0.056962025316455694,#EDCCBC,0.04177215189873418,#DCA48B,0.05063291139240506,#CC7D5F,0.07405063291139241,#FBEFE7,0.7765822784810127
10157840,1041604,#ECC6C2,#9F2626,0.044805194805194806,#EBB4AC,0.047402597402597405,#D47E74,0.052597402597402594,#B84B42,0.08831168831168831,#F8E3E0,0.7668831168831168
10157840,1074287,#824D4A,#EADCD9,0.05045871559633028,#5D1E1E,0.03145478374836173,#9A6E6C,0.04652686762778506,#C5AAA8,0.0655307994757536,#763C39,0.8060288335517694
10157840,1023452,#C76A65,#B13845,0.07753086419753086,#F6DDD6,0.07654320987654321,#CF7B70,0.10320987654320987,#C15C57,0.6977777777777778,#E3A89B,0.044938271604938275
10157840,1115334,#B67B7F,#901C29,0.062456140350877196,#AA7176,0.08070175438596491,#ECDADA,0.2631578947368421,#97454B,0.4519298245614035,#CEA3A5,0.14175438596491227
10157840,1087508,#B47E83,#97464E,0.044975404075895994,#D8ABAE,0.10330288123682362,#B4787E,0.1061138439915671,#F2DCDC,0.34012649332396344,#7A2B34,0.40548137737174983
10157840,1105053,#A96450,#B67E6C,0.06445437141033823,#903C27,0.0389278876834716,#F4E4DD,0.04977664326738992,#D4AFA3,0.07530312699425654,#A0543E,0.7715379706445438
10157840,1105051,#CC8F82,#BE695C,0.05116580310880829,#E7C8C1,0.03432642487046632,#D7A89D,0.04987046632124352,#F7E8E4,0.08290155440414508,#C78476,0.7817357512953368
10157840,1140294,#BBA38B,#F9CE1D,0.1141696750902527,#A54B31,0.11823104693140794,#EBDDCB,0.4490072202166065,#B78B6E,0.08754512635379061,#4D557D,0.23104693140794225
10157840,1074284,#E8C2B1,#FAEDE4,0.06109324758842444,#C6613F,0.036655948553054665,#DAA38B,0.05337620578778135,#CC7D5E,0.07138263665594856,#ECCCBD,0.777491961414791
10157840,1023451,#994F33,#88391C,0.05542168674698795,#EAD8D1,0.0491566265060241,#C7927D,0.05686746987951807,#914224,0.7865060240963856,#AA6044,0.052048192771084335
10157840,1049474,#D4A5CD,#A54D98,0.03938265034592869,#EDD9EA,0.03565726450239489,#C687BE,0.04843001596593933,#B461A8,0.1059073975518893,#DAB2D5,0.7706226716338478
10157840,1023450,#DBA5A2,#AC5650,0.04518950437317784,#F0DDDB,0.034499514091350825,#D08A87,0.04178814382896016,#BB6A65,0.07677356656948493,#E1AEAB,0.8017492711370262
10157840,1074285,#E6CFC5,#903C27,0.059278350515463915,#DCBEB4,0.035438144329896906,#A15B45,0.0509020618556701,#BC8977,0.06765463917525773,#F5E8E1,0.7867268041237113
10157840,1105050,#BE8F78,#AD7056,0.05566343042071197,#DCC2B3,0.04724919093851133,#C59F8B,0.05436893203883495,#F4E9E1,0.08673139158576051,#B78269,0.7559870550161812
10157840,1105054,#B28E8D,#5C1E1D,0.04873294346978557,#E8D7D6,0.0396361273554256,#90615F,0.04938271604938271,#713330,0.07472384665367121,#BD9D9C,0.7875243664717348
10157840,1049470,#D8B4CD,#640232,0.03860391327340032,#CC92BB,0.03648863035430989,#AA4F8F,0.04336329984135378,#841A5D,0.06874669487043893,#E8D0E2,0.812797461660497
10157840,1115333,#C6877E,#BE5847,0.09646079111727966,#CF9992,0.157529493407356,#BF7367,0.5246356696738376,#EAD6D3,0.18598195697432338,#614648,0.03539208882720333
10157840,1048961,#F0C4CA,#AE0927,0.04565868263473054,#EBAEB6,0.03817365269461078,#DE7583,0.04491017964071856,#C73A4F,0.0688622754491018,#F8E0E3,0.8023952095808383
10157840,1115332,#BE7981,#714045,0.10028653295128939,#CA9298,0.17191977077363896,#E4CCCD,0.2607449856733524,#BC666F,0.058022922636103154,#B44B57,0.40902578796561606
10157840,1049471,#CA343F,#ECA1AC,0.0433420365535248,#AA0904,0.0381201044386423,#E05369,0.04543080939947781,#F9DEE2,0.06892950391644909,#C5202C,0.804177545691906
10157840,1140290,#D8AEA7,#BE4E98,0.10590356016223525,#F2C622,0.10950878774222622,#EFDDD8,0.4479495268138801,#664561,0.061739522307345654,#CB95A0,0.27489860297431273
10157840,1105055,#A8968C,#3C1808,0.0752212389380531,#927D75,0.13274336283185842,#EDE5DF,0.10619469026548672,#65483C,0.16371681415929204,#C5B6AE,0.5221238938053098
10157840,1074282,#BB8870,#AD7057,0.06955380577427822,#F1E4DC,0.05446194225721785,#BE927D,0.05446194225721785,#D3B5A4,0.09776902887139108,#B57C62,0.723753280839895
10157840,1049473,#AB4292,#8E1D72,0.04113924050632911,#EDD4E7,0.04061181434599156,#B95CA5,0.04588607594936709,#D399C7,0.09546413502109705,#A33087,0.7768987341772152
10157840,1115331,#AB6054,#9C5448,0.11735769501054111,#E4CBC9,0.17849613492621222,#B4827A,0.1679550245959241,#942D1A,0.2817990161630358,#9E3C2E,0.25439212930428673
10157840,1049472,#C44DB1,#820158,0.046242774566473986,#F2D4EE,0.04203888596952181,#A01285,0.047819232790331054,#DE8FD3,0.0882816605359958,#C546B2,0.7756174461376774
10157840,1074283,#CB8B7F,#BD685B,0.056282722513089,#E5C4BC,0.04057591623036649,#D2A297,0.05039267015706806,#F7E8E3,0.08638743455497382,#C57F72,0.7663612565445026
10157840,1140293,#C2987B,#AD221F,0.11246063877642826,#F9CE1E,0.1313540260908682,#EEDACA,0.4462438146648673,#B87A65,0.07872244714349977,#5D3F4A,0.23121907332433647
10157840,999436,#D66588,#E04678,0.0999099909990999,#ECBBC6,0.0927092709270927,#E5648B,0.12961296129612962,#CD929F,0.31683168316831684,#CF3168,0.3609360936093609
10157840,1035736,#9F5B74,#863454,0.05221414408460013,#E2CAD3,0.03965631196298744,#BB899B,0.043621943159286185,#722745,0.08856576338400529,#A15B74,0.7759418374091209
10157840,1049428,#CE5AB7,#A71183,0.040880503144654086,#E29DD5,0.03930817610062893,#F4D9EF,0.04559748427672956,#BC249B,0.100104821802935,#CF5AB9,0.7741090146750524
10157840,999437,#B06FA1,#DFBCCF,0.10009017132551848,#AC519D,0.09377817853922453,#BA92A5,0.3327321911632101,#BC6BAF,0.13435527502254282,#963F8B,0.3390441839495041
10157840,999435,#AA4E51,#882A2E,0.037579306979014154,#D29999,0.03465104929233773,#BC6A6B,0.03953147877013177,#EDD3D3,0.09272816007808687,#A13C3F,0.7955100048804294
10157840,1099541,#B8615D,#A82F2F,0.04704386522568341,#E5BBB9,0.04322949777495232,#C9817D,0.04767959313413859,#F9EAE8,0.05721551176096631,#B1534F,0.8048315321042594
10157840,1099540,#B35F53,#842B1C,0.058636073932441045,#E7AFA7,0.049075844486934354,#CA7B71,0.05672402804333971,#F9E4E0,0.10325047801147227,#A8493C,0.7323135755258127
10157840,999434,#E89BA7,#D0485B,0.04019607843137255,#F8DDE2,0.03431372549019608,#BB3245,0.04019607843137255,#E27183,0.06470588235294118,#EBA5B0,0.8205882352941176
10157840,1114112,#E9CCD0,#AD5C69,0.049872122762148335,#DDB5BC,0.04156010230179028,#C88590,0.04219948849104859,#9C4350,0.06777493606138107,#F6E3E6,0.7985933503836317
10157840,1073567,#BF7B76,#842221,0.05931122448979592,#E0B2AE,0.03826530612244898,#F6E4E1,0.05293367346938776,#9F4540,0.07908163265306123,#C27D78,0.7704081632653061
10157840,999431,#D5949E,#BB5B6C,0.03487229862475442,#E0B1B7,0.03683693516699411,#C76D7B,0.039783889980353634,#F1DBDE,0.09577603143418467,#D38E99,0.7927308447937131
10157840,1114111,#F3D2D4,#C94D53,0.0389278876834716,#EFC5C8,0.047862156987874924,#DA9397,0.05679642629227824,#CF666C,0.08104658583280153,#FBE9EB,0.7753669432035737
10157840,999433,#D2404B,#B8212E,0.046837276677933366,#F8D9DA,0.036214389183969097,#EB959A,0.04007725736359247,#DF626A,0.09222597778850797,#CF323F,0.7846450989859971
10157840,999432,#FDC7C1,#FD3831,0.04886308659893566,#FDACA1,0.0401548137397194,#FD7E70,0.0401548137397194,#FD5345,0.07885824866956942,#FDE1DC,0.7919690372520561
10157840,1114110,#DB7FA0,#B81544,0.050505050505050504,#EEB3C9,0.036616161616161616,#C54972,0.036616161616161616,#FBE4F0,0.054292929292929296,#DB7FA0,0.821969696969697
10157840,1114109,#ECCBCE,#B2555F,0.05967213114754098,#E9C3C5,0.05377049180327869,#C07077,0.06885245901639345,#D3989C,0.10426229508196722,#F9E6E7,0.7134426229508197
10157840,1073569,#E5C4C2,#7F2222,0.061107574793125397,#E0B1AD,0.03946530872056015,#C17C78,0.051559516231699555,#9D4440,0.08084022915340547,#F7E4E2,0.7670273711012094
10157840,1049434,#B96690,#A03D6D,0.03799472295514512,#ECD5E1,0.03799472295514512,#D69FBC,0.04432717678100264,#902D59,0.10184696569920844,#BB6793,0.7778364116094987
10157840,1073568,#C93D39,#F9DDD9,0.08433734939759036,#B60209,0.05770450221940393,#E3928A,0.05897273303741281,#CE554D,0.10526315789473684,#C2231F,0.693722257450856
10157840,1049436,#B55590,#A13677,0.046031746031746035,#D7A0C3,0.03597883597883598,#EDD3E3,0.046031746031746035,#C26EA4,0.10582010582010581,#AF4888,0.7661375661375661
10157840,1049432,#B884B8,#722D71,0.044078597981943704,#E2CCE2,0.03505045140732873,#A161A3,0.04195432819968136,#833D85,0.09771640998406797,#C291C2,0.7812002124269782
